2025-10-01 13:52:42,468 INFO    MainThread:4110886 [wandb_setup.py:_flush():81] Current SDK version is 0.22.0
2025-10-01 13:52:42,469 INFO    MainThread:4110886 [wandb_setup.py:_flush():81] Configure stats pid to 4110886
2025-10-01 13:52:42,469 INFO    MainThread:4110886 [wandb_setup.py:_flush():81] Loading settings from /home/trung.le/.config/wandb/settings
2025-10-01 13:52:42,469 INFO    MainThread:4110886 [wandb_setup.py:_flush():81] Loading settings from /blue/dforte/trung.le/misc/Neurips2025_Weak_lensing/wandb/settings
2025-10-01 13:52:42,469 INFO    MainThread:4110886 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-01 13:52:42,469 INFO    MainThread:4110886 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /blue/dforte/trung.le/misc/Neurips2025_Weak_lensing/wandb/run-20251001_135242-es1bs1d8/logs/debug.log
2025-10-01 13:52:42,469 INFO    MainThread:4110886 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /blue/dforte/trung.le/misc/Neurips2025_Weak_lensing/wandb/run-20251001_135242-es1bs1d8/logs/debug-internal.log
2025-10-01 13:52:42,469 INFO    MainThread:4110886 [wandb_init.py:init():813] calling init triggers
2025-10-01 13:52:42,469 INFO    MainThread:4110886 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'IMG_HEIGHT': 1424, 'IMG_WIDTH': 176, 'NUM_TARGETS': 2, 'BATCH_SIZE': 4, 'EPOCHS': 60, 'LEARNING_RATE': 2e-06, 'WEIGHT_DECAY': 0.0001, 'DEVICE': device(type='cuda'), 'split_ratio': 0.8, 'epochs_per_chunk': 1, '_wandb': {}}
2025-10-01 13:52:42,469 INFO    MainThread:4110886 [wandb_init.py:init():861] starting backend
2025-10-01 13:52:42,675 INFO    MainThread:4110886 [wandb_init.py:init():864] sending inform_init request
2025-10-01 13:52:42,679 INFO    MainThread:4110886 [wandb_init.py:init():872] backend started and connected
2025-10-01 13:52:42,680 INFO    MainThread:4110886 [wandb_init.py:init():942] updated telemetry
2025-10-01 13:52:42,690 INFO    MainThread:4110886 [wandb_init.py:init():966] communicating run to backend with 90.0 second timeout
2025-10-01 13:52:43,037 INFO    MainThread:4110886 [wandb_init.py:init():1017] starting run threads in backend
2025-10-01 13:52:43,142 INFO    MainThread:4110886 [wandb_run.py:_console_start():2506] atexit reg
2025-10-01 13:52:43,142 INFO    MainThread:4110886 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-10-01 13:52:43,142 INFO    MainThread:4110886 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-10-01 13:52:43,142 INFO    MainThread:4110886 [wandb_run.py:_redirect():2446] Redirects installed.
2025-10-01 13:52:43,145 INFO    MainThread:4110886 [wandb_init.py:init():1057] run started, returning control to user process
2025-10-01 13:55:42,316 INFO    wandb-AsyncioManager-main:4110886 [service_client.py:_forward_responses():84] Reached EOF.
2025-10-01 13:55:42,316 INFO    wandb-AsyncioManager-main:4110886 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
